NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,435,410,415,403,402
Infantil II Ciclo,130,112,105,103,107
Primaria,305,298,306,295,290
Educación Básica Obligatoria,0,0,4,4,4
Educación Infantil Especial,0,0,0,1,1
