NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1157,1232,1206,1190,1177
ESO,340,360,358,363,307
Bachillerato,137,121,78,66,66
FP GM,387,421,418,412,447
FP GS,199,237,256,247,256
FPB,94,93,96,102,101
