NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1610,1651,1691,960,1021
FP GM,553,506,456,448,499
FP GS,957,1015,1118,410,437
FPB,100,130,117,102,85
