NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,703,707,757,800,839
ESO,540,541,605,589,569
Bachillerato,163,166,129,147,185
FP GM,0,0,23,64,85
