NÚMERO DE ALUMNOS,2021-2022,2022-2023,2023-2024,2024-2025
Total,853,894,1033,1056
ESO,666,694,725,660
Bachillerato,187,157,161,166
FP GM,0,27,52,54
FP GS,0,0,66,138
FPB,0,16,29,38
