NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1194,1122,906,786,859
FP GM,325,344,265,257,297
FP GS,745,660,515,410,427
FPB,124,118,126,119,135
