NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,107,114,102,102,96
Infantil I Ciclo,42,43,42,42,40
Infantil II Ciclo,65,71,60,60,56
