NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,423,413,391,432,440
Infantil I Ciclo,0,0,0,40,40
Infantil II Ciclo,127,125,113,118,116
Primaria,296,288,278,274,284
