NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,235,228,227,223,223
Infantil I Ciclo,0,0,28,41,39
Infantil II Ciclo,55,58,50,45,44
Primaria,180,170,149,137,140
