NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,931,927,913,957,959
Infantil II Ciclo,292,281,261,227,179
Primaria,639,646,652,626,604
ESO,0,0,0,104,176
