NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,496,500,551,524,518
Infantil II Ciclo,92,79,89,100,89
Primaria,230,241,264,239,233
ESO,174,180,198,185,196
