NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,649,583,543,481,446
Infantil I Ciclo,0,0,39,41,41
Infantil II Ciclo,152,126,102,76,68
Primaria,497,457,402,364,330
Educación Básica Obligatoria,0,0,0,0,5
Educación Infantil Especial,0,0,0,0,2
