NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,680,722,750,843,849
ESO,473,503,540,589,566
Bachillerato,183,170,162,171,176
FP GS,24,49,48,83,107
