NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,573,517,503,429,405
Infantil II Ciclo,84,85,83,57,50
Primaria,217,190,171,164,161
ESO,272,242,249,208,194
