NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,990,1093,1159,960,993
ESO,392,378,418,460,470
Bachillerato,103,118,114,123,142
FP GM,310,426,470,247,254
FP GS,155,136,124,98,99
FPB,30,35,33,32,28
