NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,870,859,922,893,893
ESO,482,531,568,562,548
Bachillerato,284,219,263,255,242
FP GM,19,32,17,16,21
FP GS,32,27,26,27,29
FPB,53,50,48,33,53
