NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,452,607,768,940,1085
Infantil II Ciclo,275,252,211,196,180
Primaria,177,278,383,464,491
ESO,0,77,174,280,414
