NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,612,678,751,818,879
ESO,278,275,304,348,378
Bachillerato,123,118,107,92,96
FP GM,78,137,174,185,193
FP GS,43,41,44,66,90
FPB,75,91,103,104,100
Programas Profesionales Modalidad Especial,15,16,19,23,22
