NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,947,1055,1141,1187,1198
ESO,585,622,689,715,685
Bachillerato,253,254,238,257,282
FP GM,83,109,109,100,115
FP GS,26,70,105,115,116
