NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,88,87,80,93,93
Educación Básica Obligatoria,66,64,62,66,64
Educación Infantil Especial,10,12,0,11,12
Programa Formación Transición Vida Adulta,12,11,18,16,17
