NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,89,89,69,73,78
Infantil I Ciclo,42,39,32,39,39
Infantil II Ciclo,47,50,37,34,39
