NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,388,543,600,659,636
Infantil II Ciclo,140,151,141,130,120
Primaria,188,275,287,302,299
ESO,60,117,172,227,217
