NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1221,1315,1365,1048,1034
ESO,564,522,525,464,405
Bachillerato,212,218,190,214,213
FP GM,135,133,144,167,192
FP GS,310,442,506,203,224
