NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,241,240,246,263,287
Infantil II Ciclo,74,73,66,64,61
Primaria,167,167,180,199,219
Educación Básica Obligatoria,0,0,0,0,3
Educación Infantil Especial,0,0,0,0,4
