NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,896,980,1013,1063,1112
ESO,565,621,664,694,707
Bachillerato,186,206,191,218,242
FP GM,52,54,50,49,47
FP GS,66,74,83,67,84
FPB,27,25,25,35,32
