NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,269,250,250,257,249
Infantil I Ciclo,0,0,0,32,41
Infantil II Ciclo,70,69,68,65,61
Primaria,199,181,182,160,147
