NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,456,540,589,654,680
Infantil II Ciclo,166,163,147,136,125
Primaria,290,328,327,358,345
ESO,0,49,115,160,210
