NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,434,432,449,485,489
Infantil I Ciclo,0,0,0,40,39
Infantil II Ciclo,147,148,148,137,140
Primaria,287,284,301,308,310
