NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,819,813,747,703,643
Infantil II Ciclo,227,233,202,201,162
Primaria,592,580,545,502,477
Educación Básica Obligatoria,0,0,0,0,4
