NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,518,577,605,610,615
Infantil II Ciclo,134,134,122,115,109
Primaria,273,278,291,306,295
ESO,111,165,192,189,211
