NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,84,93,89,102,100
Educación Básica Obligatoria,80,90,75,74,71
Educación Infantil Especial,4,3,0,5,7
Programa Formación Transición Vida Adulta,0,0,14,23,22
