NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,347,366,418,474,527
ESO,262,290,349,384,427
Bachillerato,62,54,54,73,86
Programas Profesionales Modalidad Especial,23,22,15,17,14
