NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,217,216,276,286,294
Infantil I Ciclo,0,0,39,40,40
Infantil II Ciclo,63,61,61,65,65
Primaria,154,155,176,181,189
