NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,248,246,270,271,261
Infantil I Ciclo,0,0,38,40,38
Infantil II Ciclo,52,55,55,57,58
Primaria,196,191,177,174,165
