NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,232,205,208,216,214
Infantil II Ciclo,63,57,51,55,46
Primaria,169,148,157,157,156
Educación Básica Obligatoria,0,0,0,4,7
Educación Infantil Especial,0,0,0,0,5
