NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,204,241,313,350,353
ESO,147,172,255,281,284
Bachillerato,54,64,49,58,56
Programas Profesionales Modalidad Especial,3,5,9,11,13
