NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,729,715,550,511,597
FP GM,331,321,239,233,291
FP GS,273,272,213,199,212
FPB,125,122,98,79,94
