NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1060,1100,1232,1286,1345
ESO,471,545,622,617,586
Bachillerato,125,76,138,183,239
FP GM,208,199,174,174,214
FP GS,197,219,249,261,253
FPB,59,61,49,51,53
