NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,164,163,166,144,153
Educación Básica Obligatoria,111,117,122,112,118
Educación Infantil Especial,16,16,14,13,10
Programa Formación Transición Vida Adulta,37,30,30,19,25
