NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,636,704,780,813,843
ESO,390,414,457,467,483
Bachillerato,122,121,121,126,118
FP GM,85,115,143,141,147
FP GS,0,0,0,17,27
FPB,39,54,59,62,68
