NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,88,79,49,67,87
Infantil I Ciclo,42,37,33,38,39
Infantil II Ciclo,46,42,16,29,48
