NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,178,180,182,203,214
Infantil I Ciclo,0,0,0,42,41
Infantil II Ciclo,63,55,59,45,53
Primaria,115,125,123,116,120
