NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,267,272,265,259,246
Infantil II Ciclo,72,78,76,73,56
Primaria,190,189,179,175,178
Educación Básica Obligatoria,5,5,7,6,7
Educación Infantil Especial,0,0,3,5,5
