NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,493,665,947,1118,1301
FP GM,149,313,514,600,702
FP GS,308,317,394,471,535
FPB,36,35,39,47,64
