NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,813,781,838,899,939
ESO,490,498,513,529,503
Bachillerato,292,228,242,254,293
FP GM,0,25,26,35,52
FP GS,0,0,27,52,59
FPB,31,30,30,29,32
