NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,172,176,191,242,230
Infantil I Ciclo,0,0,0,41,37
Infantil II Ciclo,66,59,62,63,56
Primaria,106,117,129,138,137
