NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,1185,1186,1123,1075,1049
ESO,573,559,556,553,524
Bachillerato,262,264,230,186,170
FP GM,117,136,106,109,119
FP GS,233,227,231,227,236
