NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,493,456,452,440,434
Infantil II Ciclo,112,110,112,124,118
Primaria,351,318,313,286,287
Educación Básica Obligatoria,30,28,27,30,29
