NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,552,564,563,615,670
ESO,349,372,379,421,459
Bachillerato,203,192,184,194,191
FP GM,0,0,0,0,20
