NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,240,254,289,295,317
Infantil I Ciclo,0,0,0,36,40
Infantil II Ciclo,78,87,88,82,96
Primaria,162,167,196,172,176
Educación Básica Obligatoria,0,0,5,5,5
