NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,766,739,733,741,796
ESO,497,491,511,484,471
Bachillerato,233,211,180,195,234
FP GM,0,0,9,27,41
FP GS,0,0,0,11,30
FPB,36,37,33,24,20
