NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,2087,2024,1857,1842,1912
ESO,722,720,737,712,735
Bachillerato,490,481,448,508,491
FP GM,231,252,205,224,264
FP GS,608,537,442,369,388
FPB,36,34,25,29,34
