NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,270,247,247,273,276
Infantil I Ciclo,0,0,0,40,41
Infantil II Ciclo,67,68,73,65,64
Primaria,203,179,174,168,171
