NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,676,758,826,958,1117
FP GM,347,366,326,347,405
FP GS,329,364,456,560,648
FPB,0,28,44,51,64
