NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,392,342,332,298,310
Infantil I Ciclo,0,0,0,0,36
Infantil II Ciclo,123,85,65,64,61
Primaria,269,257,267,234,213
