NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,414,380,362,353,352
Infantil I Ciclo,0,0,0,35,37
Infantil II Ciclo,135,115,101,83,83
Primaria,279,265,261,235,229
Educación Básica Obligatoria,0,0,0,0,3
