NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,923,991,1138,1365,1515
FP GM,256,308,427,485,552
FP GS,667,683,711,870,935
FPB,0,0,0,10,28
