NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,555,478,458,412,394
Infantil I Ciclo,0,0,38,40,40
Infantil II Ciclo,115,110,101,94,105
Primaria,440,368,319,278,249
