id_education,center_name,center_type,infantil_i_ciclo_transiciones_infantil,infantil_i_ciclo_max_matriculados,infantil_i_ciclo_max_admitidos,infantil_i_ciclo_max_total_estudiantes,infantil_i_ciclo_año_max,infantil_i_ciclo_matriculados_objetivo,infantil_i_ciclo_plazas_estimadas,infantil_i_ciclo_solicitudes_presentadas,infantil_i_ciclo_solicitudes_admitidas,infantil_i_ciclo_solicitudes_admitidas_corregidas,infantil_i_ciclo_tasa_ocupacion,infantil_i_ciclo_ratio_demanda,infantil_i_ciclo_ratio_admision_capacidad,infantil_i_ciclo_eficiencia_admision,infantil_i_ciclo_activo,infantil_ii_ciclo_transiciones_infantil,infantil_ii_ciclo_max_matriculados,infantil_ii_ciclo_max_admitidos,infantil_ii_ciclo_max_total_estudiantes,infantil_ii_ciclo_año_max,infantil_ii_ciclo_matriculados_objetivo,infantil_ii_ciclo_plazas_estimadas,infantil_ii_ciclo_solicitudes_presentadas,infantil_ii_ciclo_solicitudes_admitidas,infantil_ii_ciclo_solicitudes_admitidas_corregidas,infantil_ii_ciclo_tasa_ocupacion,infantil_ii_ciclo_ratio_demanda,infantil_ii_ciclo_ratio_admision_capacidad,infantil_ii_ciclo_eficiencia_admision,infantil_ii_ciclo_activo,primaria_transiciones_infantil,primaria_max_plazas_infantil_ii,primaria_max_matriculados,primaria_max_admitidos,primaria_max_total_estudiantes,primaria_año_max,primaria_matriculados_objetivo,primaria_plazas_estimadas,primaria_solicitudes_presentadas,primaria_solicitudes_admitidas,primaria_solicitudes_admitidas_corregidas,primaria_tasa_ocupacion,primaria_ratio_demanda,primaria_ratio_admision_capacidad,primaria_eficiencia_admision,primaria_activo,eso_transiciones_infantil,eso_max_matriculados,eso_max_admitidos,eso_max_total_estudiantes,eso_año_max,eso_matriculados_objetivo,eso_plazas_estimadas,eso_solicitudes_presentadas,eso_solicitudes_admitidas,eso_solicitudes_admitidas_corregidas,eso_tasa_ocupacion,eso_ratio_demanda,eso_ratio_admision_capacidad,eso_eficiencia_admision,eso_activo,ciclos_activos,total_plazas_estimadas,total_matriculados,total_max_matriculados,total_solicitudes_presentadas,total_solicitudes_admitidas,total_solicitudes_admitidas_reales,tasa_ocupacion_centro,ratio_demanda_centro,ratio_admision_capacidad_centro,eficiencia_admision_centro
28041615,Satafi,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,740,166,740,2024-2025,692,185.0,272,156,156,0.9351351351351351,1.4702702702702704,0.8432432432432433,0.5735294117647058,1,1,185.0,692,740,272,156.0,156,0.9351351351351351,1.4702702702702704,0.8432432432432433,0.5735294117647058
28000558,Infanta Catalina,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,98,29,98,2021-2022,95,32.666666666666664,29,20,20,0.9693877551020408,0.8877551020408164,0.6122448979591837,0.6896551724137931,1,31.666666666666668,32.666666666666664,292,4,292,2020-2021,258,48.666666666666664,16,5,36.66666666666667,0.8835616438356164,0.32876712328767127,0.7534246575342467,0.3125,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,81.33333333333333,353,390,45,56.66666666666667,25,0.9051282051282051,0.5532786885245902,0.6967213114754099,0.5555555555555556
28058172,Pandora,EEI,0,116,114,116,2020-2021,116,38.666666666666664,201,124,124,1.0,5.198275862068966,3.2068965517241383,0.6169154228855721,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,38.666666666666664,116,116,201,124.0,124,1.0,5.198275862068966,3.2068965517241383,0.6169154228855721
28074724,Petirrojo,EEI-CN,0,30,36,30,2021-2022,19,10.0,23,22,22,0.6333333333333333,2.3,2.2,0.9565217391304348,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,10.0,19,30,23,22.0,22,0.6333333333333333,2.3,2.2,0.9565217391304348
28068268,Los Tajetes,EEI,0,105,103,105,2024-2025,94,35.0,98,95,95,0.8952380952380953,2.8,2.7142857142857144,0.9693877551020408,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,35.0,94,105,98,95.0,95,0.8952380952380953,2.8,2.7142857142857144,0.9693877551020408
28059279,Sabino Fernández Campo,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,210,44,210,2023-2024,203,52.5,45,45,45,0.9666666666666667,0.8571428571428571,0.8571428571428571,1.0,1,1,52.5,203,210,45,45.0,45,0.9666666666666667,0.8571428571428571,0.8571428571428571,1.0
28026043,Príncipe Felipe,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,149,51,149,2021-2022,135,49.666666666666664,43,36,36,0.9060402684563759,0.865771812080537,0.7248322147651007,0.8372093023255814,1,45.0,49.666666666666664,299,4,299,2021-2022,297,49.833333333333336,13,1,46.0,0.9933110367892977,0.2608695652173913,0.923076923076923,0.07692307692307693,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,99.5,432,448,56,82.0,37,0.9642857142857143,0.5628140703517588,0.8241206030150754,0.6607142857142857
28065644,Gonzalo Anes,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,211,52,211,2024-2025,190,52.75,46,46,46,0.9004739336492891,0.8720379146919431,0.8720379146919431,1.0,1,1,52.75,190,211,46,46.0,46,0.9004739336492891,0.8720379146919431,0.8720379146919431,1.0
28025506,Gregorio Canella,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,120,30,120,2023-2024,119,40.0,38,38,38,0.9916666666666667,0.95,0.95,1.0,1,39.666666666666664,40.0,289,12,289,2024-2025,259,48.166666666666664,18,18,57.666666666666664,0.8961937716262975,0.3737024221453287,1.1972318339100345,1.0,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,88.16666666666666,378,409,56,95.66666666666666,56,0.9242053789731052,0.6351606805293006,1.0850661625708884,1.0
28080499,Arcoiris,EEI,0,115,112,115,2022-2023,115,38.333333333333336,274,112,112,1.0,7.147826086956521,2.9217391304347826,0.40875912408759124,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,38.333333333333336,115,115,274,112.0,112,1.0,7.147826086956521,2.9217391304347826,0.40875912408759124
