id_education;cycle;year;total
28020831;fp_gs;2023-2024;332
28020831;fp_gs;2024-2025;343
28020831;fpb;2020-2021;30
28020831;fpb;2021-2022;31
28020831;fpb;2022-2023;24
28020831;fpb;2023-2024;21
28020831;fpb;2024-2025;26
28005441;total;2020-2021;401
28005441;total;2021-2022;413
28005441;total;2022-2023;427
28005441;total;2023-2024;421
28005441;total;2024-2025;412
28005441;infantil_ii_ciclo;2020-2021;134
28005441;infantil_ii_ciclo;2021-2022;137
28005441;infantil_ii_ciclo;2022-2023;136
28005441;infantil_ii_ciclo;2023-2024;133
28005441;infantil_ii_ciclo;2024-2025;123
28005441;primaria;2020-2021;267
28005441;primaria;2021-2022;276
28005441;primaria;2022-2023;291
28005441;primaria;2023-2024;288
28005441;primaria;2024-2025;289
28030411;total;2020-2021;408
28030411;total;2021-2022;412
28030411;total;2022-2023;414
28030411;total;2023-2024;414
28030411;total;2024-2025;404
28030411;infantil_ii_ciclo;2020-2021;129
28030411;infantil_ii_ciclo;2021-2022;130
28030411;infantil_ii_ciclo;2022-2023;130
28030411;infantil_ii_ciclo;2023-2024;121
28030411;infantil_ii_ciclo;2024-2025;120
28030411;primaria;2020-2021;279
28030411;primaria;2021-2022;282
28030411;primaria;2022-2023;284
28030411;primaria;2023-2024;293
28030411;primaria;2024-2025;284
28067549;total;2020-2021;270
28067549;total;2021-2022;221
28067549;total;2022-2023;231
28067549;total;2023-2024;232
28067549;total;2024-2025;213
28067549;infantil_ii_ciclo;2020-2021;62
28067549;infantil_ii_ciclo;2021-2022;51
28067549;infantil_ii_ciclo;2022-2023;51
28067549;infantil_ii_ciclo;2023-2024;52
28067549;infantil_ii_ciclo;2024-2025;48
28067549;primaria;2020-2021;208
28067549;primaria;2021-2022;170
28067549;primaria;2022-2023;180
28067549;primaria;2023-2024;180
28067549;primaria;2024-2025;165
28043399;total;2020-2021;478
28043399;total;2021-2022;482
28043399;total;2022-2023;469
28043399;total;2023-2024;475
28043399;total;2024-2025;473
28043399;infantil_ii_ciclo;2020-2021;172
28043399;infantil_ii_ciclo;2021-2022;150
28043399;infantil_ii_ciclo;2022-2023;140
28043399;infantil_ii_ciclo;2023-2024;133
28043399;infantil_ii_ciclo;2024-2025;118
28043399;primaria;2020-2021;306
28043399;primaria;2021-2022;332
28043399;primaria;2022-2023;329
28043399;primaria;2023-2024;342
28043399;primaria;2024-2025;355
28040684;total;2020-2021;547
28040684;total;2021-2022;522
28040684;total;2022-2023;523
28040684;total;2023-2024;551
28040684;total;2024-2025;525
28040684;eso;2020-2021;375
28040684;eso;2021-2022;373
28040684;eso;2022-2023;393
28040684;eso;2023-2024;389
28040684;eso;2024-2025;374
28040684;bachillerato;2020-2021;172
28040684;bachillerato;2021-2022;149
28040684;bachillerato;2022-2023;130
28040684;bachillerato;2023-2024;162
28040684;bachillerato;2024-2025;151
28026501;total;2020-2021;436
28026501;total;2021-2022;407
28026501;total;2022-2023;407
28026501;total;2023-2024;409
28026501;total;2024-2025;386
28026501;infantil_ii_ciclo;2020-2021;132
28026501;infantil_ii_ciclo;2021-2022;111
28026501;infantil_ii_ciclo;2022-2023;106
28026501;infantil_ii_ciclo;2023-2024;107
28026501;infantil_ii_ciclo;2024-2025;93
28026501;primaria;2020-2021;304
28026501;primaria;2021-2022;296
28026501;primaria;2022-2023;301
28026501;primaria;2023-2024;302
28026501;primaria;2024-2025;293
28039347;total;2020-2021;210
28039347;total;2021-2022;203
28039347;total;2022-2023;188
28039347;total;2023-2024;181
28039347;total;2024-2025;178
28039347;infantil_ii_ciclo;2020-2021;65
28039347;infantil_ii_ciclo;2021-2022;65
28039347;infantil_ii_ciclo;2022-2023;58
28039347;infantil_ii_ciclo;2023-2024;58
28039347;infantil_ii_ciclo;2024-2025;56
28039347;primaria;2020-2021;145
28039347;primaria;2021-2022;138
28039347;primaria;2022-2023;130
28039347;primaria;2023-2024;123
28039347;primaria;2024-2025;122
28031041;total;2020-2021;452
28031041;total;2021-2022;451
28031041;total;2022-2023;443
28031041;total;2023-2024;419
28031041;total;2024-2025;406
28031041;infantil_ii_ciclo;2020-2021;148
28031041;infantil_ii_ciclo;2021-2022;150
28031041;infantil_ii_ciclo;2022-2023;142
28031041;infantil_ii_ciclo;2023-2024;120
28031041;infantil_ii_ciclo;2024-2025;108
28031041;primaria;2020-2021;304
28031041;primaria;2021-2022;301
28031041;primaria;2022-2023;301
28031041;primaria;2023-2024;299
28031041;primaria;2024-2025;298
28021252;total;2020-2021;525
28021252;total;2021-2022;440
28021252;total;2022-2023;441
28021252;total;2023-2024;450
28021252;total;2024-2025;439
28021252;fp_gm;2020-2021;169
28021252;fp_gm;2021-2022;148
28021252;fp_gm;2022-2023;161
28021252;fp_gm;2023-2024;147
28021252;fp_gm;2024-2025;135
28021252;fp_gs;2020-2021;201
28021252;fp_gs;2021-2022;152
28021252;fp_gs;2022-2023;148
28021252;fp_gs;2023-2024;165
28021252;fp_gs;2024-2025;163
28021252;fpb;2020-2021;155
28021252;fpb;2021-2022;140
28021252;fpb;2022-2023;132
28021252;fpb;2023-2024;138
28021252;fpb;2024-2025;141
28066119;total;2020-2021;555
28066119;total;2021-2022;478
28066119;total;2022-2023;458
28066119;total;2023-2024;412
28066119;total;2024-2025;394
28066119;infantil_i_ciclo;2020-2021;0
28066119;infantil_i_ciclo;2021-2022;0
28066119;infantil_i_ciclo;2022-2023;38
28066119;infantil_i_ciclo;2023-2024;40
28066119;infantil_i_ciclo;2024-2025;40
28066119;infantil_ii_ciclo;2020-2021;115
28066119;infantil_ii_ciclo;2021-2022;110
28066119;infantil_ii_ciclo;2022-2023;101
28066119;infantil_ii_ciclo;2023-2024;94
28066119;infantil_ii_ciclo;2024-2025;105
28066119;primaria;2020-2021;440
28066119;primaria;2021-2022;368
28066119;primaria;2022-2023;319
28066119;primaria;2023-2024;278
28066119;primaria;2024-2025;249
28064068;total;2020-2021;545
28064068;total;2021-2022;498
28064068;total;2022-2023;505
28064068;total;2023-2024;441
28064068;total;2024-2025;429
28064068;infantil_ii_ciclo;2020-2021;145
28064068;infantil_ii_ciclo;2021-2022;119
28064068;infantil_ii_ciclo;2022-2023;126
28064068;infantil_ii_ciclo;2023-2024;120
28064068;infantil_ii_ciclo;2024-2025;127
28064068;primaria;2020-2021;400
28064068;primaria;2021-2022;379
28064068;primaria;2022-2023;379
28064068;primaria;2023-2024;321
28064068;primaria;2024-2025;292
28064068;educación_básica_obligatoria;2020-2021;0
28064068;educación_básica_obligatoria;2021-2022;0
28064068;educación_básica_obligatoria;2022-2023;0
28064068;educación_básica_obligatoria;2023-2024;0
28064068;educación_básica_obligatoria;2024-2025;5
28064068;educación_infantil_especial;2020-2021;0
28064068;educación_infantil_especial;2021-2022;0
28064068;educación_infantil_especial;2022-2023;0
28064068;educación_infantil_especial;2023-2024;0
28064068;educación_infantil_especial;2024-2025;5
28010931;total;2020-2021;219
28010931;total;2021-2022;208
28010931;total;2022-2023;200
28010931;total;2023-2024;194
28010931;total;2024-2025;186
28010931;infantil_ii_ciclo;2020-2021;70
28010931;infantil_ii_ciclo;2021-2022;64
28010931;infantil_ii_ciclo;2022-2023;60
28010931;infantil_ii_ciclo;2023-2024;56
28010931;infantil_ii_ciclo;2024-2025;54
28010931;primaria;2020-2021;149
28010931;primaria;2021-2022;144
28010931;primaria;2022-2023;140
28010931;primaria;2023-2024;138
28010931;primaria;2024-2025;132
28044227;total;2020-2021;100
28044227;total;2021-2022;117
28044227;total;2022-2023;112
28044227;total;2023-2024;114
28044227;total;2024-2025;107
28044227;infantil_i_ciclo;2020-2021;100
28044227;infantil_i_ciclo;2021-2022;117
28044227;infantil_i_ciclo;2022-2023;112
28044227;infantil_i_ciclo;2023-2024;114
28044227;infantil_i_ciclo;2024-2025;107
28042656;total;2020-2021;1807
28042656;total;2021-2022;1863
28042656;total;2022-2023;1656
28042656;total;2023-2024;1309
28042656;total;2024-2025;1362
28042656;fp_gm;2020-2021;377
28042656;fp_gm;2021-2022;448
28042656;fp_gm;2022-2023;401
28042656;fp_gm;2023-2024;242
28042656;fp_gm;2024-2025;268
28042656;fp_gs;2020-2021;1430
28042656;fp_gs;2021-2022;1415
28042656;fp_gs;2022-2023;1255
28042656;fp_gs;2023-2024;1067
28042656;fp_gs;2024-2025;1094
28080517;total;2021-2022;853
28080517;total;2022-2023;894
28080517;total;2023-2024;1033
28080517;total;2024-2025;1056
28080517;eso;2021-2022;666
28080517;eso;2022-2023;694
28080517;eso;2023-2024;725
28080517;eso;2024-2025;660
28080517;bachillerato;2021-2022;187
28080517;bachillerato;2022-2023;157
28080517;bachillerato;2023-2024;161
28080517;bachillerato;2024-2025;166
28080517;fp_gm;2021-2022;0
28080517;fp_gm;2022-2023;27
28080517;fp_gm;2023-2024;52
28080517;fp_gm;2024-2025;54
28080517;fp_gs;2021-2022;0
28080517;fp_gs;2022-2023;0
28080517;fp_gs;2023-2024;66
28080517;fp_gs;2024-2025;138
28080517;fpb;2021-2022;0
28080517;fpb;2022-2023;16
28080517;fpb;2023-2024;29
28080517;fpb;2024-2025;38
28063854;total;2020-2021;477
28063854;total;2021-2022;461
28063854;total;2022-2023;449
28063854;total;2023-2024;431
28063854;total;2024-2025;416
28063854;infantil_ii_ciclo;2020-2021;153
28063854;infantil_ii_ciclo;2021-2022;142
28063854;infantil_ii_ciclo;2022-2023;125
28063854;infantil_ii_ciclo;2023-2024;111
28063854;infantil_ii_ciclo;2024-2025;97
28063854;primaria;2020-2021;324
28063854;primaria;2021-2022;319
28063854;primaria;2022-2023;324
28063854;primaria;2023-2024;320
28063854;primaria;2024-2025;319
28060385;total;2020-2021;775
28060385;total;2021-2022;741
28060385;total;2022-2023;723
28060385;total;2023-2024;674
28060385;total;2024-2025;670
28060385;eso;2020-2021;609
28060385;eso;2021-2022;556
28060385;eso;2022-2023;543
28060385;eso;2023-2024;502
28060385;eso;2024-2025;492
28060385;bachillerato;2020-2021;166
28060385;bachillerato;2021-2022;185
28060385;bachillerato;2022-2023;180
28060385;bachillerato;2023-2024;172
28060385;bachillerato;2024-2025;178
28070196;total;2020-2021;134
28070196;total;2021-2022;139
28070196;total;2022-2023;133
28070196;total;2023-2024;131
28070196;total;2024-2025;111
28070196;infantil_i_ciclo;2020-2021;134
28070196;infantil_i_ciclo;2021-2022;139
28070196;infantil_i_ciclo;2022-2023;133
28070196;infantil_i_ciclo;2023-2024;131
28070196;infantil_i_ciclo;2024-2025;111
28041411;total;2020-2021;689
28041411;total;2021-2022;713
28041411;total;2022-2023;787
28041411;total;2023-2024;788
28041411;total;2024-2025;829
28041411;eso;2020-2021;519
28041411;eso;2021-2022;540
28041411;eso;2022-2023;630
28041411;eso;2023-2024;674
28041411;eso;2024-2025;668
28041411;bachillerato;2020-2021;170
28041411;bachillerato;2021-2022;173
28041411;bachillerato;2022-2023;157
28041411;bachillerato;2023-2024;114
28041411;bachillerato;2024-2025;161
28010886;total;2020-2021;236
28010886;total;2021-2022;221
28010886;total;2022-2023;213
28010886;total;2023-2024;203
28010886;total;2024-2025;205
28010886;infantil_ii_ciclo;2020-2021;69
28010886;infantil_ii_ciclo;2021-2022;64
28010886;infantil_ii_ciclo;2022-2023;67
28010886;infantil_ii_ciclo;2023-2024;60
28010886;infantil_ii_ciclo;2024-2025;60
28010886;primaria;2020-2021;167
28010886;primaria;2021-2022;157
28010886;primaria;2022-2023;146
28010886;primaria;2023-2024;143
28010886;primaria;2024-2025;145
28042681;total;2020-2021;1039
28042681;total;2021-2022;969
28042681;total;2022-2023;1012
28042681;total;2023-2024;1087
28042681;total;2024-2025;1145
28042681;eso;2020-2021;513
28042681;eso;2021-2022;484
28042681;eso;2022-2023;523
28042681;eso;2023-2024;551
28042681;eso;2024-2025;568
28042681;bachillerato;2020-2021;190
28042681;bachillerato;2021-2022;168
28042681;bachillerato;2022-2023;148
28042681;bachillerato;2023-2024;132
28042681;bachillerato;2024-2025;127
28042681;fp_gm;2020-2021;105
28042681;fp_gm;2021-2022;95
28042681;fp_gm;2022-2023;114
28042681;fp_gm;2023-2024;139
28042681;fp_gm;2024-2025;143
28042681;fp_gs;2020-2021;150
28042681;fp_gs;2021-2022;135
28042681;fp_gs;2022-2023;162
28042681;fp_gs;2023-2024;204
28042681;fp_gs;2024-2025;240
28042681;fpb;2020-2021;81
28042681;fpb;2021-2022;87
28042681;fpb;2022-2023;65
28042681;fpb;2023-2024;61
28042681;fpb;2024-2025;67
28035421;total;2020-2021;438
28035421;total;2021-2022;434
28035421;total;2022-2023;423
28035421;total;2023-2024;421
28035421;total;2024-2025;418
28035421;infantil_ii_ciclo;2020-2021;146
28035421;infantil_ii_ciclo;2021-2022;144
28035421;infantil_ii_ciclo;2022-2023;136
28035421;infantil_ii_ciclo;2023-2024;132
28035421;infantil_ii_ciclo;2024-2025;123
28035421;primaria;2020-2021;292
28035421;primaria;2021-2022;290
28035421;primaria;2022-2023;287
28035421;primaria;2023-2024;289
28035421;primaria;2024-2025;295
28075777;total;2020-2021;678
28075777;total;2021-2022;630
28075777;total;2022-2023;633
28075777;total;2023-2024;614
28075777;total;2024-2025;618
28075777;infantil_ii_ciclo;2020-2021;281
28075777;infantil_ii_ciclo;2021-2022;195
28075777;infantil_ii_ciclo;2022-2023;147
28075777;infantil_ii_ciclo;2023-2024;103
28075777;infantil_ii_ciclo;2024-2025;91
28075777;primaria;2020-2021;397
28075777;primaria;2021-2022;435
28075777;primaria;2022-2023;486
28075777;primaria;2023-2024;464
28075777;primaria;2024-2025;408
28075777;eso;2020-2021;0
28075777;eso;2021-2022;0
28075777;eso;2022-2023;0
28075777;eso;2023-2024;47
28075777;eso;2024-2025;119
28033722;total;2020-2021;400
28033722;total;2021-2022;401
28033722;total;2022-2023;427
28033722;total;2023-2024;408
28033722;total;2024-2025;410
28033722;infantil_ii_ciclo;2020-2021;77
28033722;infantil_ii_ciclo;2021-2022;85
28033722;infantil_ii_ciclo;2022-2023;107
28033722;infantil_ii_ciclo;2023-2024;102
28033722;infantil_ii_ciclo;2024-2025;95
28033722;primaria;2020-2021;323
28033722;primaria;2021-2022;316
28033722;primaria;2022-2023;320
28033722;primaria;2023-2024;306
28033722;primaria;2024-2025;315
28047538;total;2020-2021;100
28047538;total;2021-2022;104
28047538;total;2022-2023;103
28047538;total;2023-2024;105
28047538;total;2024-2025;105
28047538;infantil_i_ciclo;2020-2021;100
28047538;infantil_i_ciclo;2021-2022;104
28047538;infantil_i_ciclo;2022-2023;103
28047538;infantil_i_ciclo;2023-2024;105
28047538;infantil_i_ciclo;2024-2025;105
28006202;total;2020-2021;400
28006202;total;2021-2022;446
28006202;total;2022-2023;447
28006202;total;2023-2024;480
28006202;total;2024-2025;522
28006202;infantil_ii_ciclo;2020-2021;68
28006202;infantil_ii_ciclo;2021-2022;74
28006202;infantil_ii_ciclo;2022-2023;83
28006202;infantil_ii_ciclo;2023-2024;108
28006202;infantil_ii_ciclo;2024-2025;124
28006202;primaria;2020-2021;332
28006202;primaria;2021-2022;372
28006202;primaria;2022-2023;364
28006202;primaria;2023-2024;372
28006202;primaria;2024-2025;398
28043776;total;2020-2021;88
28043776;total;2021-2022;95
28043776;total;2022-2023;95
28043776;total;2023-2024;65
28043776;total;2024-2025;94
28043776;infantil_i_ciclo;2020-2021;88
28043776;infantil_i_ciclo;2021-2022;95
28043776;infantil_i_ciclo;2022-2023;95
28043776;infantil_i_ciclo;2023-2024;65
28043776;infantil_i_ciclo;2024-2025;94
28001551;total;2020-2021;431
28001551;total;2021-2022;416
28001551;total;2022-2023;429
28001551;total;2023-2024;382
28001551;total;2024-2025;359
28001551;infantil_ii_ciclo;2020-2021;108
28001551;infantil_ii_ciclo;2021-2022;98
28001551;infantil_ii_ciclo;2022-2023;87
28001551;infantil_ii_ciclo;2023-2024;66
28001551;infantil_ii_ciclo;2024-2025;61
28001551;primaria;2020-2021;323
28001551;primaria;2021-2022;318
28001551;primaria;2022-2023;342
28001551;primaria;2023-2024;316
28001551;primaria;2024-2025;298
28068281;total;2020-2021;112
28068281;total;2021-2022;114
28068281;total;2022-2023;113
28068281;total;2023-2024;112
28068281;total;2024-2025;117
28068281;infantil_i_ciclo;2020-2021;112
28068281;infantil_i_ciclo;2021-2022;114
28068281;infantil_i_ciclo;2022-2023;113
28068281;infantil_i_ciclo;2023-2024;112
28068281;infantil_i_ciclo;2024-2025;117
28045475;total;2020-2021;439
28045475;total;2021-2022;436
28045475;total;2022-2023;431
28045475;total;2023-2024;425
28045475;total;2024-2025;412
28045475;infantil_ii_ciclo;2020-2021;140
28045475;infantil_ii_ciclo;2021-2022;137
28045475;infantil_ii_ciclo;2022-2023;129
28045475;infantil_ii_ciclo;2023-2024;127
28045475;infantil_ii_ciclo;2024-2025;115
28045475;primaria;2020-2021;299
28045475;primaria;2021-2022;299
28045475;primaria;2022-2023;302
28045475;primaria;2023-2024;298
28045475;primaria;2024-2025;297
28003420;total;2020-2021;446
28003420;total;2021-2022;443
28003420;total;2022-2023;434
28003420;total;2023-2024;416
28003420;total;2024-2025;420
28003420;infantil_ii_ciclo;2020-2021;129
28003420;infantil_ii_ciclo;2021-2022;138
28003420;infantil_ii_ciclo;2022-2023;139
28003420;infantil_ii_ciclo;2023-2024;131
28003420;infantil_ii_ciclo;2024-2025;126
28003420;primaria;2020-2021;317
28003420;primaria;2021-2022;305
28003420;primaria;2022-2023;295
28003420;primaria;2023-2024;285
28003420;primaria;2024-2025;294
28047289;total;2020-2021;23
28047289;total;2021-2022;20
28047289;total;2022-2023;15
28047289;total;2023-2024;18
28047289;total;2024-2025;18
28047289;infantil_i_ciclo;2020-2021;23
28047289;infantil_i_ciclo;2021-2022;20
28047289;infantil_i_ciclo;2022-2023;15
28047289;infantil_i_ciclo;2023-2024;18
28047289;infantil_i_ciclo;2024-2025;18
28060622;total;2020-2021;36
28060622;total;2021-2022;53
28060622;total;2022-2023;46
28060622;total;2023-2024;31
28060622;total;2024-2025;41
28060622;infantil_i_ciclo;2020-2021;36
28060622;infantil_i_ciclo;2021-2022;53
28060622;infantil_i_ciclo;2022-2023;46
28060622;infantil_i_ciclo;2023-2024;31
28060622;infantil_i_ciclo;2024-2025;41
28062035;total;2020-2021;740
28062035;total;2021-2022;733
28062035;total;2022-2023;778
28062035;total;2023-2024;779
28062035;total;2024-2025;800
28062035;eso;2020-2021;569
28062035;eso;2021-2022;575
28062035;eso;2022-2023;641
28062035;eso;2023-2024;620
28062035;eso;2024-2025;595
28062035;bachillerato;2020-2021;171
28062035;bachillerato;2021-2022;158
28062035;bachillerato;2022-2023;137
28062035;bachillerato;2023-2024;159
28062035;bachillerato;2024-2025;205
28038461;total;2020-2021;212
28038461;total;2021-2022;213
28038461;total;2022-2023;223
28038461;total;2023-2024;238
28038461;total;2024-2025;236
28038461;infantil_ii_ciclo;2020-2021;77
28038461;infantil_ii_ciclo;2021-2022;77
28038461;infantil_ii_ciclo;2022-2023;70
28038461;infantil_ii_ciclo;2023-2024;80
28038461;infantil_ii_ciclo;2024-2025;77
28038461;primaria;2020-2021;135
28038461;primaria;2021-2022;136
28038461;primaria;2022-2023;153
28038461;primaria;2023-2024;158
28038461;primaria;2024-2025;159
28037752;total;2020-2021;498
28037752;total;2021-2022;495
28037752;total;2022-2023;481
28037752;total;2023-2024;480
28037752;total;2024-2025;484
28037752;infantil_ii_ciclo;2020-2021;170
28037752;infantil_ii_ciclo;2021-2022;162
28037752;infantil_ii_ciclo;2022-2023;128
28037752;infantil_ii_ciclo;2023-2024;129
28037752;infantil_ii_ciclo;2024-2025;124
28037752;primaria;2020-2021;328
28037752;primaria;2021-2022;333
28037752;primaria;2022-2023;353
28037752;primaria;2023-2024;351
28037752;primaria;2024-2025;360
28028672;total;2020-2021;1469
28028672;total;2021-2022;1475
28028672;total;2022-2023;1483
28028672;total;2023-2024;1483
28028672;total;2024-2025;1389
28028672;eso;2020-2021;723
28028672;eso;2021-2022;721
28028672;eso;2022-2023;718
28028672;eso;2023-2024;706
28028672;eso;2024-2025;682
28028672;bachillerato;2020-2021;746
28028672;bachillerato;2021-2022;754
28028672;bachillerato;2022-2023;765
28028672;bachillerato;2023-2024;777
28028672;bachillerato;2024-2025;707
28021124;total;2020-2021;300
28021124;total;2021-2022;273
28021124;total;2022-2023;276
28021124;total;2023-2024;253
28021124;total;2024-2025;230
28021124;infantil_ii_ciclo;2020-2021;101
28021124;infantil_ii_ciclo;2021-2022;70
28021124;infantil_ii_ciclo;2022-2023;65
28021124;infantil_ii_ciclo;2023-2024;52
28021124;infantil_ii_ciclo;2024-2025;47
28021124;primaria;2020-2021;199
28021124;primaria;2021-2022;203
28021124;primaria;2022-2023;211
