hospital_name;municipality_name
Hospital Universitario Infanta Sofia;Puebla de la Sierra
Hospital Universitario Infanta Sofia;Puentes Viejas
Hospital Universitario Infanta Sofia;Rascafría
Hospital Universitario Infanta Sofia;Redueña
Hospital Universitario Infanta Sofia;Robledillo de la Jara
Hospital Universitario Infanta Sofia;Robregordo
Hospital Universitario Infanta Sofia;San Agustín de Guadalix
Hospital Universitario Infanta Sofia;San Sebastián de los Reyes
Hospital Universitario Infanta Sofia;Serna del Monte
Hospital Universitario Infanta Sofia;Somosierra
Hospital Universitario Infanta Sofia;Talamanca del Jarama
Hospital Universitario Infanta Sofia;Torrelaguna
Hospital Universitario Infanta Sofia;Torremocha del Jarama
Hospital Universitario Infanta Sofia;Valdemanco
Hospital Universitario Infanta Sofia;Valdeolmos - Alalpardo
Hospital Universitario Infanta Sofia;Valdepiélagos
Hospital Universitario Infanta Sofia;Valdetorres del Jarama
Hospital Universitario Infanta Sofia;El Vellón
Hospital Universitario Infanta Sofia;Venturada
Hospital Universitario Infanta Sofia;Villavieja de Lozoya
Hospital Universitario Principe de Asturias;Alcalá de Henares
Hospital Universitario Principe de Asturias;Anchuelo
Hospital Universitario Principe de Asturias;Camarma de Esteruelas
Hospital Universitario Principe de Asturias;Corpa
Hospital Universitario Principe de Asturias;Meco
Hospital Universitario Principe de Asturias;Pezuela de las Torres
Hospital Universitario Principe de Asturias;Santorcaz
Hospital Universitario Principe de Asturias;Los Santos de la Humosa
Hospital Universitario Principe de Asturias;Torres de la Alameda
Hospital Universitario Principe de Asturias;Valdeavero
Hospital Universitario Principe de Asturias;Valverde de Alcalá y Villalbilla
Hospital Universitario Puerta;n/a
Hospital Universitario la Paz;n/a
Hospital Universitario Ramón y Cajal;n/a
Hospital Universitario Rey Juan Carlos;Móstoles
Hospital Universitario Rey Juan Carlos;Navalcarnero
Hospital Universitario Rey Juan Carlos;El Álamo
Hospital Universitario Rey Juan Carlos;Villanueva de Perales
Hospital Universitario Rey Juan Carlos;Viila del Prado
Hospital Universitario Rey Juan Carlos;Navas del Rey
Hospital Universitario Rey Juan Carlos;Colmenar del Arroyo
Hospital Universitario Rey Juan Carlos;Pelayos de la Presa
Hospital Universitario Rey Juan Carlos;Cenicientos
