id_municipality,municipality_name,total_centers,total_population_0_19,population_0-4,population_5-9,population_10-14,population_15-19,infantil_i_ciclo_capacity,infantil_i_ciclo_plazas_estimadas,infantil_i_ciclo_max_matriculados,infantil_i_ciclo_solicitudes,infantil_i_ciclo_admitidos,infantil_i_ciclo_num_centers,infantil_i_ciclo_centers_names,infantil_ii_ciclo_capacity,infantil_ii_ciclo_plazas_estimadas,infantil_ii_ciclo_max_matriculados,infantil_ii_ciclo_solicitudes,infantil_ii_ciclo_admitidos,infantil_ii_ciclo_num_centers,infantil_ii_ciclo_centers_names,primaria_capacity,primaria_plazas_estimadas,primaria_max_matriculados,primaria_solicitudes,primaria_admitidos,primaria_num_centers,primaria_centers_names,eso_capacity,eso_plazas_estimadas,eso_max_matriculados,eso_solicitudes,eso_admitidos,eso_num_centers,eso_centers_names,infantil_i_ciclo_estimated_need,infantil_i_ciclo_coverage_ratio,infantil_i_ciclo_is_covered,infantil_i_ciclo_deficit,infantil_ii_ciclo_estimated_need,infantil_ii_ciclo_coverage_ratio,infantil_ii_ciclo_is_covered,infantil_ii_ciclo_deficit,primaria_estimated_need,primaria_coverage_ratio,primaria_is_covered,primaria_deficit,eso_estimated_need,eso_coverage_ratio,eso_is_covered,eso_deficit,total_estimated_need,total_capacity,overall_coverage_ratio,cycles_with_need,cycles_covered,coverage_percentage,is_fully_covered,total_deficit,cycles_with_access,access_percentage,access_classification,has_basic_education,has_mandatory_education,missing_cycles
28179,Villar del Olmo,1,456,78,112,121,145,0,0.0,0,0,0,0,Ninguno,134,44.666666666666664,134,33,31,1,Juan de Goyeneche,306,51.0,306,13,47.666666666666664,1,Juan de Goyeneche,211,52.75,211,9,3,1,Juan de Goyeneche,46.8,0.0,False,46.8,53.599999999999994,2.5000000000000004,True,0.0,138.0,2.217391304347826,True,0.0,101.6,2.0767716535433074,True,0.0,340.0,651,1.9147058823529413,4,3,75.0,False,0.0,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
28162,Valdeolmos-Alalpardo,5,1172,187,269,407,309,18,6.0,18,16,16,1,Valdeolmos,224,74.66666666666667,224,67,67,2,"Ramón Linacero, Martína García",597,99.5,597,11,78.33333333333334,2,"Ramón Linacero, Martína García",1136,284.0,1136,239,183,3,"Al - Satt, Gustavo Adolfo Bécquer, Martína García",112.2,0.16042780748663102,False,94.2,128.6,1.7418351477449456,True,0.0,378.0,1.5793650793650793,True,0.0,306.0,3.712418300653595,True,0.0,924.8,1975,2.135596885813149,4,3,75.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28043,Colmenar de Oreja,3,1700,300,397,483,520,84,28.0,84,71,68,1,La Colmena,171,57.0,171,46,45,1,Apis Aurelia,424,70.66666666666667,424,2,48.666666666666664,1,Apis Aurelia,328,82.0,328,75,72,1,Carpe Diem Colmenar Oreja,180.0,0.4666666666666667,False,96.0,199.4,0.8575727181544633,False,28.400000000000006,510.8,0.8300704776820673,False,86.80000000000001,393.8,0.8329101066531234,False,65.80000000000001,1284.0,1007,0.7842679127725857,4,0,0.0,False,277.0,4,100.0,Acceso Completo,True,True,[]
28090,Moralzarzal,3,3339,497,724,992,1126,0,0.0,0,0,0,0,Ninguno,250,83.33333333333333,250,74,74,2,"El Raso, San Miguel Arcángel",628,104.66666666666666,628,24,91.66666666666666,2,"El Raso, San Miguel Arcángel",487,121.75,487,123,118,1,Carmen Martín Gaite,298.2,0.0,False,298.2,343.6,0.7275902211874272,False,93.60000000000002,976.0,0.6434426229508197,False,348.0,820.4000000000001,0.5936128717698683,False,333.4000000000001,2438.2,1365,0.5598392256582725,4,0,0.0,False,1073.1999999999998,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
28093,Navacerrada,3,635,115,114,188,218,0,0.0,0,0,0,0,Ninguno,205,68.33333333333334,205,54,54,2,"Príncipe de Asturias, Juan Ramón Jiménez",519,86.5,519,15,76.33333333333333,2,"Príncipe de Asturias, Juan Ramón Jiménez",703,175.75,703,120,120,2,"Juan Ramón Jiménez, La Dehesilla",69.0,0.0,False,69.0,68.8,2.979651162790698,True,0.0,166.4,3.1189903846153846,True,0.0,156.4,4.494884910485934,True,0.0,460.6,1427,3.0981328701693442,4,3,75.0,False,0.0,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
28136,Santorcaz,5,186,36,43,38,69,38,12.666666666666666,38,43,34,1,La Isla de Las Arreñas,96,32.0,96,24,24,1,CRA Amigos de la Paz,203,33.833333333333336,203,2,21.0,1,CRA Amigos de la Paz,1208,302.0,1208,321,230,3,"Alonso de Avellaneda, Alkala-Nahar, Complutense",21.6,1.759259259259259,True,0.0,23.0,4.173913043478261,True,0.0,49.599999999999994,4.092741935483871,True,0.0,36.6,33.005464480874316,True,0.0,130.79999999999998,1545,11.811926605504588,4,4,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
28130,San Fernando de Henares,15,6933,1309,1667,1763,2194,432,144.0,432,519,420,6,"Jaramita, Acuarela, Huerta Chica, Polichinela, El Tambor, Ciudades Unidas",986,328.6666666666667,986,273,230,7,"El Olivar, Villar Palasi, Guernica, Miguel Hernández, Enrique Tierno Galván, El Jarama, Ciudades Unidas",2162,360.33333333333337,2162,54,306.00000000000006,7,"El Olivar, Villar Palasi, Guernica, Miguel Hernández, Enrique Tierno Galván, El Jarama, Ciudades Unidas",1489,372.25,1489,317,278,3,"Jaime Ferrán Clúa, Rey Fernando VI, Vega del Jarama",785.4,0.5500381970970206,False,353.4,857.0,1.1505250875145858,True,0.0,2038.8,1.0604277025701394,True,0.0,1496.6,0.994921822798343,False,7.599999999999909,5177.799999999999,5069,0.9789872146471476,4,2,50.0,False,108.79999999999927,4,100.0,Acceso Completo,True,True,[]
28068,Guadarrama,4,3487,556,859,984,1088,115,38.333333333333336,115,138,121,1,Los Tilos,252,84.0,252,56,56,2,"Villa de Guadarrama, Sierra de Guadarrama",608,101.33333333333334,608,21,88.66666666666666,2,"Villa de Guadarrama, Sierra de Guadarrama",529,132.25,529,143,135,1,De Guadarrama,333.6,0.34472422062350117,False,218.60000000000002,394.20000000000005,0.639269406392694,False,142.20000000000005,1080.8000000000002,0.5625462620281272,False,472.8000000000002,808.0,0.6547029702970297,False,279.0,2616.6000000000004,1504,0.5747917144385843,4,0,0.0,False,1112.6000000000004,4,100.0,Acceso Completo,True,True,[]
28042,Colmenar del Arroyo,4,389,79,97,98,115,36,12.0,36,29,29,1,La Olma,203,67.66666666666667,203,59,59,3,"San Vicente, Santo Ángel de la Guarda, Isabel la Católica",482,80.33333333333333,482,15,72.66666666666667,3,"San Vicente, Santo Ángel de la Guarda, Isabel la Católica",323,80.75,323,28,28,2,"Santo Ángel de la Guarda, Isabel la Católica",47.4,0.759493670886076,False,11.399999999999999,51.0,3.980392156862745,True,0.0,116.8,4.126712328767123,True,0.0,81.8,3.9486552567237165,True,0.0,297.0,1044,3.515151515151515,4,3,75.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28072,Hoyo de Manzanares,4,1847,299,442,529,577,156,52.0,156,149,145,2,"El Hada Traga Manzanas, Los Tajetes",134,44.666666666666664,134,34,34,1,Virgen de la Encina,344,57.333333333333336,344,4,36.333333333333336,1,Virgen de la Encina,260,65.0,260,50,50,1,Francisco Ayala,179.4,0.8695652173913043,False,23.400000000000006,208.0,0.6442307692307693,False,74.0,565.2,0.6086341118188251,False,221.20000000000005,432.79999999999995,0.600739371534196,False,172.79999999999995,1385.4,894,0.6453009961022087,4,0,0.0,False,491.4000000000001,4,100.0,Acceso Completo,True,True,[]
