municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28162;infantil_i_ciclo;2022-2023;18;6.0;18;16;16;1;Valdeolmos;112.2;0.16042780748663102;False;94.2
28162;infantil_ii_ciclo;2022-2023;224;74.66666666666667;224;67;67;2;Ramón Linacero, Martína García;128.6;1.7418351477449456;True;0.0
28162;primaria;2022-2023;597;99.5;597;11;78.33333333333334;2;Ramón Linacero, Martína García;378.0;1.5793650793650793;True;0.0
28162;eso;2022-2023;1136;284.0;1136;239;183;3;Al - Satt, Gustavo Adolfo Bécquer, Martína García;306.0;3.712418300653595;True;0.0
28043;infantil_i_ciclo;2022-2023;84;28.0;84;71;68;1;La Colmena;180.0;0.4666666666666667;False;96.0
28043;infantil_ii_ciclo;2022-2023;171;57.0;171;46;45;1;Apis Aurelia;199.4;0.8575727181544633;False;28.400000000000006
28043;primaria;2022-2023;424;70.66666666666667;424;2;48.666666666666664;1;Apis Aurelia;510.8;0.8300704776820673;False;86.80000000000001
28043;eso;2022-2023;328;82.0;328;75;72;1;Carpe Diem Colmenar Oreja;393.8;0.8329101066531234;False;65.80000000000001
28090;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;298.2;0.0;False;298.2
28090;infantil_ii_ciclo;2022-2023;250;83.33333333333333;250;74;74;2;El Raso, San Miguel Arcángel;343.6;0.7275902211874272;False;93.60000000000002
28090;primaria;2022-2023;628;104.66666666666666;628;24;91.66666666666666;2;El Raso, San Miguel Arcángel;976.0;0.6434426229508197;False;348.0
28090;eso;2022-2023;487;121.75;487;123;118;1;Carmen Martín Gaite;820.4000000000001;0.5936128717698683;False;333.4000000000001
28093;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;69.0;0.0;False;69.0
28093;infantil_ii_ciclo;2022-2023;205;68.33333333333334;205;54;54;2;Príncipe de Asturias, Juan Ramón Jiménez;68.8;2.979651162790698;True;0.0
28093;primaria;2022-2023;519;86.5;519;15;76.33333333333333;2;Príncipe de Asturias, Juan Ramón Jiménez;166.4;3.1189903846153846;True;0.0
28093;eso;2022-2023;703;175.75;703;120;120;2;Juan Ramón Jiménez, La Dehesilla;156.4;4.494884910485934;True;0.0
