id_secondary_municipality,name,total,year,range
0647,Gascones,0,2021,100-n
0647,Gascones,0,2022,100-n
0647,Gascones,0,2023,100-n
0647,Gascones,0,2024,100-n
0650,Getafe,38,2021,100-n
0650,Getafe,43,2022,100-n
0650,Getafe,46,2023,100-n
0650,Getafe,44,2024,100-n
0663,Griñón,3,2021,100-n
0663,Griñón,2,2022,100-n
0663,Griñón,6,2023,100-n
0663,Griñón,6,2024,100-n
0679,Guadalix de la Sierra,4,2021,100-n
0679,Guadalix de la Sierra,3,2022,100-n
0679,Guadalix de la Sierra,2,2023,100-n
0679,Guadalix de la Sierra,1,2024,100-n
0685,Guadarrama,2,2021,100-n
0685,Guadarrama,7,2022,100-n
0685,Guadarrama,12,2023,100-n
0685,Guadarrama,16,2024,100-n
0698,Hiruela (La),0,2021,100-n
0698,Hiruela (La),0,2022,100-n
0698,Hiruela (La),0,2023,100-n
0698,Hiruela (La),0,2024,100-n
0702,Horcajo de la Sierra-Aoslos,0,2021,100-n
0702,Horcajo de la Sierra-Aoslos,0,2022,100-n
0702,Horcajo de la Sierra-Aoslos,0,2023,100-n
0702,Horcajo de la Sierra-Aoslos,0,2024,100-n
0719,Horcajuelo de la Sierra,0,2021,100-n
0719,Horcajuelo de la Sierra,0,2022,100-n
0719,Horcajuelo de la Sierra,0,2023,100-n
0719,Horcajuelo de la Sierra,0,2024,100-n
0724,Hoyo de Manzanares,1,2021,100-n
0724,Hoyo de Manzanares,2,2022,100-n
0724,Hoyo de Manzanares,1,2023,100-n
0724,Hoyo de Manzanares,2,2024,100-n
0730,Humanes de Madrid,2,2021,100-n
0730,Humanes de Madrid,2,2022,100-n
0730,Humanes de Madrid,4,2023,100-n
0730,Humanes de Madrid,2,2024,100-n
0745,Leganés,40,2021,100-n
0745,Leganés,50,2022,100-n
0745,Leganés,59,2023,100-n
0745,Leganés,56,2024,100-n
0758,Loeches,1,2021,100-n
0758,Loeches,1,2022,100-n
0758,Loeches,0,2023,100-n
0758,Loeches,0,2024,100-n
0761,Lozoya,1,2021,100-n
0761,Lozoya,0,2022,100-n
0761,Lozoya,0,2023,100-n
0761,Lozoya,0,2024,100-n
9015,Lozoyuela-Navas-Sieteiglesias,2,2021,100-n
9015,Lozoyuela-Navas-Sieteiglesias,2,2022,100-n
9015,Lozoyuela-Navas-Sieteiglesias,1,2023,100-n
9015,Lozoyuela-Navas-Sieteiglesias,1,2024,100-n
0783,Madarcos,0,2021,100-n
0783,Madarcos,0,2022,100-n
0783,Madarcos,0,2023,100-n
0783,Madarcos,0,2024,100-n
0796,Madrid,1254,2021,100-n
0796,Madrid,1341,2022,100-n
0796,Madrid,1432,2023,100-n
0796,Madrid,1595,2024,100-n
0800,Majadahonda,20,2021,100-n
0800,Majadahonda,17,2022,100-n
0800,Majadahonda,16,2023,100-n
0800,Majadahonda,16,2024,100-n
0822,Manzanares el Real,1,2021,100-n
0822,Manzanares el Real,1,2022,100-n
0822,Manzanares el Real,0,2023,100-n
0822,Manzanares el Real,1,2024,100-n
0838,Meco,0,2021,100-n
0838,Meco,0,2022,100-n
0838,Meco,0,2023,100-n
0838,Meco,0,2024,100-n
0843,Mejorada del Campo,3,2021,100-n
0843,Mejorada del Campo,3,2022,100-n
0843,Mejorada del Campo,4,2023,100-n
0843,Mejorada del Campo,1,2024,100-n
0856,Miraflores de la Sierra,1,2021,100-n
0856,Miraflores de la Sierra,0,2022,100-n
0856,Miraflores de la Sierra,0,2023,100-n
0856,Miraflores de la Sierra,1,2024,100-n
0869,Molar (El),1,2021,100-n
0869,Molar (El),2,2022,100-n
0869,Molar (El),1,2023,100-n
0869,Molar (El),1,2024,100-n
0875,Molinos (Los),0,2021,100-n
0875,Molinos (Los),0,2022,100-n
0875,Molinos (Los),1,2023,100-n
0875,Molinos (Los),2,2024,100-n
0881,Montejo de la Sierra,2,2021,100-n
0881,Montejo de la Sierra,0,2022,100-n
0881,Montejo de la Sierra,0,2023,100-n
0881,Montejo de la Sierra,0,2024,100-n
0894,Moraleja de Enmedio,1,2021,100-n
0894,Moraleja de Enmedio,2,2022,100-n
0894,Moraleja de Enmedio,1,2023,100-n
0894,Moraleja de Enmedio,1,2024,100-n
0908,Moralzarzal,2,2021,100-n
0908,Moralzarzal,3,2022,100-n
0908,Moralzarzal,2,2023,100-n
0908,Moralzarzal,6,2024,100-n
0915,Morata de Tajuña,4,2021,100-n
0915,Morata de Tajuña,5,2022,100-n
0915,Morata de Tajuña,3,2023,100-n
0915,Morata de Tajuña,4,2024,100-n
0920,Móstoles,37,2021,100-n
0920,Móstoles,41,2022,100-n
0920,Móstoles,41,2023,100-n
0920,Móstoles,48,2024,100-n
0936,Navacerrada,0,2021,100-n
0936,Navacerrada,0,2022,100-n
0936,Navacerrada,0,2023,100-n
0936,Navacerrada,0,2024,100-n
0941,Navalafuente,0,2021,100-n
0941,Navalafuente,0,2022,100-n
0941,Navalafuente,0,2023,100-n
0941,Navalafuente,0,2024,100-n
0954,Navalagamella,1,2021,100-n
0954,Navalagamella,1,2022,100-n
0954,Navalagamella,0,2023,100-n
0954,Navalagamella,2,2024,100-n
0967,Navalcarnero,12,2021,100-n
0967,Navalcarnero,9,2022,100-n
0967,Navalcarnero,6,2023,100-n
0967,Navalcarnero,9,2024,100-n
0973,Navarredonda y San Mamés,1,2021,100-n
0973,Navarredonda y San Mamés,1,2022,100-n
0973,Navarredonda y San Mamés,1,2023,100-n
0973,Navarredonda y San Mamés,1,2024,100-n
0992,Navas del Rey,2,2021,100-n
0992,Navas del Rey,1,2022,100-n
0992,Navas del Rey,1,2023,100-n
0992,Navas del Rey,1,2024,100-n
1006,Nuevo Baztán,0,2021,100-n
1006,Nuevo Baztán,0,2022,100-n
1006,Nuevo Baztán,0,2023,100-n
1006,Nuevo Baztán,0,2024,100-n
1013,Olmeda de las Fuentes,0,2021,100-n
1013,Olmeda de las Fuentes,0,2022,100-n
1013,Olmeda de las Fuentes,0,2023,100-n
1013,Olmeda de las Fuentes,0,2024,100-n
1028,Orusco de Tajuña,0,2021,100-n
1028,Orusco de Tajuña,0,2022,100-n
1028,Orusco de Tajuña,1,2023,100-n
1028,Orusco de Tajuña,2,2024,100-n
1049,Paracuellos de Jarama,3,2021,100-n
1049,Paracuellos de Jarama,3,2022,100-n
1049,Paracuellos de Jarama,3,2023,100-n
1049,Paracuellos de Jarama,5,2024,100-n
1065,Parla,19,2021,100-n
1065,Parla,18,2022,100-n
1065,Parla,17,2023,100-n
1065,Parla,16,2024,100-n
1071,Patones,0,2021,100-n
1071,Patones,0,2022,100-n
1071,Patones,0,2023,100-n
1071,Patones,0,2024,100-n
1087,Pedrezuela,4,2021,100-n
1087,Pedrezuela,3,2022,100-n
1087,Pedrezuela,3,2023,100-n
1087,Pedrezuela,2,2024,100-n
1090,Pelayos de la Presa,2,2021,100-n
1090,Pelayos de la Presa,1,2022,100-n
1090,Pelayos de la Presa,1,2023,100-n
1090,Pelayos de la Presa,0,2024,100-n
1104,Perales de Tajuña,0,2021,100-n
1104,Perales de Tajuña,0,2022,100-n
1104,Perales de Tajuña,0,2023,100-n
1104,Perales de Tajuña,0,2024,100-n
1111,Pezuela de las Torres,0,2021,100-n
1111,Pezuela de las Torres,0,2022,100-n
1111,Pezuela de las Torres,0,2023,100-n
1111,Pezuela de las Torres,0,2024,100-n
1126,Pinilla del Valle,0,2021,100-n
1126,Pinilla del Valle,0,2022,100-n
1126,Pinilla del Valle,0,2023,100-n
1126,Pinilla del Valle,0,2024,100-n
1132,Pinto,5,2021,100-n
1132,Pinto,8,2022,100-n
1132,Pinto,4,2023,100-n
1132,Pinto,5,2024,100-n
1147,Piñuécar-Gandullas,0,2021,100-n
1147,Piñuécar-Gandullas,0,2022,100-n
1147,Piñuécar-Gandullas,0,2023,100-n
1147,Piñuécar-Gandullas,0,2024,100-n
1150,Pozuelo de Alarcón,34,2021,100-n
1150,Pozuelo de Alarcón,45,2022,100-n
1150,Pozuelo de Alarcón,42,2023,100-n
1150,Pozuelo de Alarcón,51,2024,100-n
1163,Pozuelo del Rey,0,2021,100-n
1163,Pozuelo del Rey,0,2022,100-n
1163,Pozuelo del Rey,0,2023,100-n
1163,Pozuelo del Rey,0,2024,100-n
1179,Prádena del Rincón,0,2021,100-n
1179,Prádena del Rincón,0,2022,100-n
1179,Prádena del Rincón,0,2023,100-n
1179,Prádena del Rincón,0,2024,100-n
1185,Puebla de la Sierra,0,2021,100-n
1185,Puebla de la Sierra,0,2022,100-n
1185,Puebla de la Sierra,0,2023,100-n
1185,Puebla de la Sierra,0,2024,100-n
9020,Puentes Viejas,1,2021,100-n
9020,Puentes Viejas,1,2022,100-n
9020,Puentes Viejas,1,2023,100-n
9020,Puentes Viejas,1,2024,100-n
1198,Quijorna,1,2021,100-n
1198,Quijorna,1,2022,100-n
1198,Quijorna,0,2023,100-n
1198,Quijorna,1,2024,100-n
1202,Rascafría,0,2021,100-n
1202,Rascafría,0,2022,100-n
1202,Rascafría,0,2023,100-n
1202,Rascafría,0,2024,100-n
1219,Redueña,0,2021,100-n
1219,Redueña,0,2022,100-n
1219,Redueña,0,2023,100-n
1219,Redueña,0,2024,100-n
1224,Ribatejada,1,2021,100-n
1224,Ribatejada,1,2022,100-n
1224,Ribatejada,1,2023,100-n
1224,Ribatejada,1,2024,100-n
1230,Rivas-Vaciamadrid,4,2021,100-n
1230,Rivas-Vaciamadrid,3,2022,100-n
1230,Rivas-Vaciamadrid,5,2023,100-n
1230,Rivas-Vaciamadrid,12,2024,100-n
1245,Robledillo de la Jara,0,2021,100-n
1245,Robledillo de la Jara,0,2022,100-n
1245,Robledillo de la Jara,0,2023,100-n
1245,Robledillo de la Jara,0,2024,100-n
1258,Robledo de Chavela,2,2021,100-n
1258,Robledo de Chavela,4,2022,100-n
1258,Robledo de Chavela,5,2023,100-n
1258,Robledo de Chavela,2,2024,100-n
1261,Robregordo,0,2021,100-n
1261,Robregordo,0,2022,100-n
1261,Robregordo,0,2023,100-n
1261,Robregordo,0,2024,100-n
1277,Rozas de Madrid (Las),26,2021,100-n
1277,Rozas de Madrid (Las),24,2022,100-n
1277,Rozas de Madrid (Las),26,2023,100-n
1277,Rozas de Madrid (Las),34,2024,100-n
1283,Rozas de Puerto Real,0,2021,100-n
1283,Rozas de Puerto Real,1,2022,100-n
1283,Rozas de Puerto Real,2,2023,100-n
1283,Rozas de Puerto Real,2,2024,100-n
1296,San Agustín del Guadalix,3,2021,100-n
1296,San Agustín del Guadalix,5,2022,100-n
1296,San Agustín del Guadalix,2,2023,100-n
1296,San Agustín del Guadalix,2,2024,100-n
1300,San Fernando de Henares,3,2021,100-n
1300,San Fernando de Henares,7,2022,100-n
1300,San Fernando de Henares,8,2023,100-n
1300,San Fernando de Henares,8,2024,100-n
1317,San Lorenzo de El Escorial,7,2021,100-n
1317,San Lorenzo de El Escorial,10,2022,100-n
1317,San Lorenzo de El Escorial,13,2023,100-n
1317,San Lorenzo de El Escorial,13,2024,100-n
1338,San Martín de Valdeiglesias,0,2021,100-n
1338,San Martín de Valdeiglesias,0,2022,100-n
1338,San Martín de Valdeiglesias,2,2023,100-n
1338,San Martín de Valdeiglesias,3,2024,100-n
1322,San Martín de la Vega,1,2021,100-n
1322,San Martín de la Vega,1,2022,100-n
1322,San Martín de la Vega,1,2023,100-n
1322,San Martín de la Vega,4,2024,100-n
1343,San Sebastián de los Reyes,10,2021,100-n
1343,San Sebastián de los Reyes,11,2022,100-n
1343,San Sebastián de los Reyes,8,2023,100-n
1343,San Sebastián de los Reyes,15,2024,100-n
1356,Santa María de la Alameda,1,2021,100-n
1356,Santa María de la Alameda,1,2022,100-n
1356,Santa María de la Alameda,1,2023,100-n
1356,Santa María de la Alameda,1,2024,100-n
1369,Santorcaz,1,2021,100-n
1369,Santorcaz,0,2022,100-n
1369,Santorcaz,0,2023,100-n
1369,Santorcaz,0,2024,100-n
1375,Santos de la Humosa (Los),0,2021,100-n
1375,Santos de la Humosa (Los),0,2022,100-n
1375,Santos de la Humosa (Los),0,2023,100-n
1375,Santos de la Humosa (Los),0,2024,100-n
1381,Serna del Monte (La),0,2021,100-n
1381,Serna del Monte (La),0,2022,100-n
1381,Serna del Monte (La),0,2023,100-n
1381,Serna del Monte (La),0,2024,100-n
1408,Serranillos del Valle,0,2021,100-n
1408,Serranillos del Valle,0,2022,100-n
1408,Serranillos del Valle,0,2023,100-n
1408,Serranillos del Valle,1,2024,100-n
1415,Sevilla la Nueva,1,2021,100-n
1415,Sevilla la Nueva,1,2022,100-n
1415,Sevilla la Nueva,3,2023,100-n
1415,Sevilla la Nueva,5,2024,100-n
1436,Somosierra,0,2021,100-n
1436,Somosierra,0,2022,100-n
1436,Somosierra,0,2023,100-n
1436,Somosierra,0,2024,100-n
1441,Soto del Real,1,2021,100-n
1441,Soto del Real,2,2022,100-n
1441,Soto del Real,2,2023,100-n
1441,Soto del Real,2,2024,100-n
1454,Talamanca de Jarama,2,2021,100-n
1454,Talamanca de Jarama,2,2022,100-n
1454,Talamanca de Jarama,1,2023,100-n
1454,Talamanca de Jarama,2,2024,100-n
1467,Tielmes,1,2021,100-n
1467,Tielmes,0,2022,100-n
1467,Tielmes,1,2023,100-n
1467,Tielmes,1,2024,100-n
1473,Titulcia,0,2021,100-n
1473,Titulcia,0,2022,100-n
1473,Titulcia,0,2023,100-n
1473,Titulcia,0,2024,100-n
1489,Torrejón de Ardoz,18,2021,100-n
1489,Torrejón de Ardoz,19,2022,100-n
1489,Torrejón de Ardoz,25,2023,100-n
1489,Torrejón de Ardoz,26,2024,100-n
1505,Torrejón de Velasco,1,2021,100-n
1505,Torrejón de Velasco,2,2022,100-n
1505,Torrejón de Velasco,1,2023,100-n
1505,Torrejón de Velasco,1,2024,100-n
1492,Torrejón de la Calzada,0,2021,100-n
1492,Torrejón de la Calzada,1,2022,100-n
1492,Torrejón de la Calzada,2,2023,100-n
1492,Torrejón de la Calzada,0,2024,100-n
1512,Torrelaguna,3,2021,100-n
1512,Torrelaguna,3,2022,100-n
1512,Torrelaguna,3,2023,100-n
1512,Torrelaguna,1,2024,100-n
1527,Torrelodones,8,2021,100-n
1527,Torrelodones,9,2022,100-n
1527,Torrelodones,11,2023,100-n
1527,Torrelodones,9,2024,100-n
1533,Torremocha de Jarama,1,2021,100-n
1533,Torremocha de Jarama,0,2022,100-n
1533,Torremocha de Jarama,1,2023,100-n
1533,Torremocha de Jarama,1,2024,100-n
1548,Torres de la Alameda,6,2021,100-n
1548,Torres de la Alameda,2,2022,100-n
1548,Torres de la Alameda,3,2023,100-n
1548,Torres de la Alameda,4,2024,100-n
9036,Tres Cantos,9,2021,100-n
9036,Tres Cantos,16,2022,100-n
9036,Tres Cantos,12,2023,100-n
9036,Tres Cantos,16,2024,100-n
1551,Valdaracete,0,2021,100-n
1551,Valdaracete,0,2022,100-n
1551,Valdaracete,0,2023,100-n
1551,Valdaracete,0,2024,100-n
1564,Valdeavero,0,2021,100-n
1564,Valdeavero,0,2022,100-n
1564,Valdeavero,0,2023,100-n
1564,Valdeavero,0,2024,100-n
1570,Valdelaguna,0,2021,100-n
1570,Valdelaguna,0,2022,100-n
1570,Valdelaguna,1,2023,100-n
1570,Valdelaguna,0,2024,100-n
1586,Valdemanco,1,2021,100-n
1586,Valdemanco,2,2022,100-n
1586,Valdemanco,3,2023,100-n
1586,Valdemanco,0,2024,100-n
1599,Valdemaqueda,0,2021,100-n
1599,Valdemaqueda,0,2022,100-n
1599,Valdemaqueda,0,2023,100-n
1599,Valdemaqueda,0,2024,100-n
1603,Valdemorillo,1,2021,100-n
1603,Valdemorillo,3,2022,100-n
1603,Valdemorillo,4,2023,100-n
1603,Valdemorillo,4,2024,100-n
1610,Valdemoro,5,2021,100-n
1610,Valdemoro,10,2022,100-n
1610,Valdemoro,15,2023,100-n
1610,Valdemoro,11,2024,100-n
1625,Valdeolmos-Alalpardo,2,2021,100-n
1625,Valdeolmos-Alalpardo,2,2022,100-n
1625,Valdeolmos-Alalpardo,2,2023,100-n
1625,Valdeolmos-Alalpardo,2,2024,100-n
1631,Valdepiélagos,0,2021,100-n
1631,Valdepiélagos,0,2022,100-n
1631,Valdepiélagos,1,2023,100-n
1631,Valdepiélagos,0,2024,100-n
1646,Valdetorres de Jarama,1,2021,100-n
1646,Valdetorres de Jarama,0,2022,100-n
1646,Valdetorres de Jarama,1,2023,100-n
1646,Valdetorres de Jarama,1,2024,100-n
1659,Valdilecha,0,2021,100-n
1659,Valdilecha,0,2022,100-n
1659,Valdilecha,0,2023,100-n
1659,Valdilecha,0,2024,100-n
1662,Valverde de Alcalá,0,2021,100-n
1662,Valverde de Alcalá,0,2022,100-n
1662,Valverde de Alcalá,0,2023,100-n
1662,Valverde de Alcalá,0,2024,100-n
1678,Velilla de San Antonio,2,2021,100-n
1678,Velilla de San Antonio,1,2022,100-n
1678,Velilla de San Antonio,0,2023,100-n
1678,Velilla de San Antonio,0,2024,100-n
1684,Vellón (El),0,2021,100-n
1684,Vellón (El),0,2022,100-n
1684,Vellón (El),1,2023,100-n
1684,Vellón (El),1,2024,100-n
1697,Venturada,1,2021,100-n
1697,Venturada,1,2022,100-n
1697,Venturada,1,2023,100-n
1697,Venturada,2,2024,100-n
1718,Villa del Prado,0,2021,100-n
1718,Villa del Prado,3,2022,100-n
1718,Villa del Prado,3,2023,100-n
1718,Villa del Prado,4,2024,100-n
1701,Villaconejos,0,2021,100-n
1701,Villaconejos,1,2022,100-n
1701,Villaconejos,1,2023,100-n
1701,Villaconejos,0,2024,100-n
1723,Villalbilla,3,2021,100-n
1723,Villalbilla,4,2022,100-n
1723,Villalbilla,4,2023,100-n
1723,Villalbilla,4,2024,100-n
1739,Villamanrique de Tajo,0,2021,100-n
1739,Villamanrique de Tajo,1,2022,100-n
1739,Villamanrique de Tajo,0,2023,100-n
1739,Villamanrique de Tajo,0,2024,100-n
1744,Villamanta,3,2021,100-n
1744,Villamanta,0,2022,100-n
1744,Villamanta,1,2023,100-n
1744,Villamanta,2,2024,100-n
1757,Villamantilla,0,2021,100-n
1757,Villamantilla,0,2022,100-n
1757,Villamantilla,0,2023,100-n
1757,Villamantilla,0,2024,100-n
1782,Villanueva de Perales,0,2021,100-n
1782,Villanueva de Perales,0,2022,100-n
1782,Villanueva de Perales,1,2023,100-n
1782,Villanueva de Perales,2,2024,100-n
1760,Villanueva de la Cañada,3,2021,100-n
1760,Villanueva de la Cañada,4,2022,100-n
1760,Villanueva de la Cañada,4,2023,100-n
1760,Villanueva de la Cañada,8,2024,100-n
1776,Villanueva del Pardillo,1,2021,100-n
1776,Villanueva del Pardillo,4,2022,100-n
1776,Villanueva del Pardillo,4,2023,100-n
1776,Villanueva del Pardillo,2,2024,100-n
1795,Villar del Olmo,0,2021,100-n
1795,Villar del Olmo,0,2022,100-n
1795,Villar del Olmo,1,2023,100-n
1795,Villar del Olmo,1,2024,100-n
1809,Villarejo de Salvanés,0,2021,100-n
1809,Villarejo de Salvanés,0,2022,100-n
1809,Villarejo de Salvanés,0,2023,100-n
1809,Villarejo de Salvanés,1,2024,100-n
1816,Villaviciosa de Odón,12,2021,100-n
1816,Villaviciosa de Odón,8,2022,100-n
1816,Villaviciosa de Odón,5,2023,100-n
1816,Villaviciosa de Odón,10,2024,100-n
1821,Villavieja del Lozoya,0,2021,100-n
1821,Villavieja del Lozoya,0,2022,100-n
1821,Villavieja del Lozoya,0,2023,100-n
1821,Villavieja del Lozoya,0,2024,100-n
1837,Zarzalejo,0,2021,100-n
1837,Zarzalejo,1,2022,100-n
1837,Zarzalejo,1,2023,100-n
1837,Zarzalejo,3,2024,100-n
0014,Acebeda (La),55,2021,total
0014,Acebeda (La),62,2022,total
0014,Acebeda (La),67,2023,total
0014,Acebeda (La),68,2024,total
0029,Ajalvir,4793,2021,total
0029,Ajalvir,4825,2022,total
0029,Ajalvir,4875,2023,total
0029,Ajalvir,4946,2024,total
0035,Alameda del Valle,248,2021,total
0035,Alameda del Valle,242,2022,total
0035,Alameda del Valle,275,2023,total
0035,Alameda del Valle,256,2024,total
0040,Álamo (El),9946,2021,total
0040,Álamo (El),10100,2022,total
0040,Álamo (El),10298,2023,total
0040,Álamo (El),10413,2024,total
0053,Alcalá de Henares,195570,2021,total
0053,Alcalá de Henares,196008,2022,total
0053,Alcalá de Henares,198348,2023,total
0053,Alcalá de Henares,199804,2024,total
0066,Alcobendas,116895,2021,total
0066,Alcobendas,116935,2022,total
0066,Alcobendas,119471,2023,total
0066,Alcobendas,121446,2024,total
0072,Alcorcón,171575,2021,total
0072,Alcorcón,171435,2022,total
0072,Alcorcón,172845,2023,total
0072,Alcorcón,174740,2024,total
0088,Aldea del Fresno,3078,2021,total
0088,Aldea del Fresno,3231,2022,total
0088,Aldea del Fresno,3408,2023,total
0088,Aldea del Fresno,3422,2024,total
0091,Algete,20704,2021,total
0091,Algete,20704,2022,total
0091,Algete,20936,2023,total
0091,Algete,21134,2024,total
0105,Alpedrete,15178,2021,total
0105,Alpedrete,15185,2022,total
0105,Alpedrete,15452,2023,total
0105,Alpedrete,15655,2024,total
0112,Ambite,663,2021,total
0112,Ambite,660,2022,total
0112,Ambite,690,2023,total
0112,Ambite,701,2024,total
0127,Anchuelo,1365,2021,total
0127,Anchuelo,1357,2022,total
0127,Anchuelo,1379,2023,total
0127,Anchuelo,1393,2024,total
0133,Aranjuez,60156,2021,total
0133,Aranjuez,60138,2022,total
0133,Aranjuez,60998,2023,total
0133,Aranjuez,62508,2024,total
0148,Arganda del Rey,56315,2021,total
0148,Arganda del Rey,57324,2022,total
0148,Arganda del Rey,58623,2023,total
0148,Arganda del Rey,59209,2024,total
0151,Arroyomolinos,33757,2021,total
0151,Arroyomolinos,34952,2022,total
0151,Arroyomolinos,36102,2023,total
0151,Arroyomolinos,37299,2024,total
0164,Atazar (El),109,2021,total
0164,Atazar (El),107,2022,total
0164,Atazar (El),104,2023,total
0164,Atazar (El),107,2024,total
0170,Batres,1818,2021,total
0170,Batres,1838,2022,total
0170,Batres,1881,2023,total
0170,Batres,1957,2024,total
0186,Becerril de la Sierra,6096,2021,total
0186,Becerril de la Sierra,6184,2022,total
0186,Becerril de la Sierra,6267,2023,total
0186,Becerril de la Sierra,6553,2024,total
0199,Belmonte de Tajo,1749,2021,total
0199,Belmonte de Tajo,1776,2022,total
0199,Belmonte de Tajo,1842,2023,total
0199,Belmonte de Tajo,1919,2024,total
0210,Berrueco (El),810,2021,total
0210,Berrueco (El),815,2022,total
0210,Berrueco (El),821,2023,total
0210,Berrueco (El),828,2024,total
0203,Berzosa del Lozoya,213,2021,total
0203,Berzosa del Lozoya,227,2022,total
0203,Berzosa del Lozoya,219,2023,total
0203,Berzosa del Lozoya,234,2024,total
0225,Boadilla del Monte,59000,2021,total
0225,Boadilla del Monte,62625,2022,total
0225,Boadilla del Monte,64635,2023,total
0225,Boadilla del Monte,65528,2024,total
0231,Boalo (El),8006,2021,total
0231,Boalo (El),8224,2022,total
0231,Boalo (El),8429,2023,total
0231,Boalo (El),8548,2024,total
0246,Braojos,218,2021,total
0246,Braojos,218,2022,total
0246,Braojos,212,2023,total
0246,Braojos,219,2024,total
0259,Brea de Tajo,529,2021,total
0259,Brea de Tajo,543,2022,total
0259,Brea de Tajo,549,2023,total
0259,Brea de Tajo,567,2024,total
0262,Brunete,10699,2021,total
0262,Brunete,10812,2022,total
0262,Brunete,10992,2023,total
0262,Brunete,11263,2024,total
0278,Buitrago del Lozoya,1943,2021,total
0278,Buitrago del Lozoya,1952,2022,total
0278,Buitrago del Lozoya,1954,2023,total
0278,Buitrago del Lozoya,1970,2024,total
0284,Bustarviejo,2706,2021,total
0284,Bustarviejo,2707,2022,total
0284,Bustarviejo,2752,2023,total
0284,Bustarviejo,2833,2024,total
0297,Cabanillas de la Sierra,841,2021,total
0297,Cabanillas de la Sierra,874,2022,total
0297,Cabanillas de la Sierra,937,2023,total
0297,Cabanillas de la Sierra,949,2024,total
0301,Cabrera (La),2776,2021,total
0301,Cabrera (La),2825,2022,total
0301,Cabrera (La),2898,2023,total
0301,Cabrera (La),2952,2024,total
0318,Cadalso de los Vidrios,3227,2021,total
0318,Cadalso de los Vidrios,3215,2022,total
0318,Cadalso de los Vidrios,3218,2023,total
0318,Cadalso de los Vidrios,3274,2024,total
0323,Camarma de Esteruelas,7536,2021,total
0323,Camarma de Esteruelas,7585,2022,total
0323,Camarma de Esteruelas,7782,2023,total
0323,Camarma de Esteruelas,8107,2024,total
0339,Campo Real,6435,2021,total
0339,Campo Real,6662,2022,total
0339,Campo Real,6711,2023,total
0339,Campo Real,6766,2024,total
0344,Canencia,457,2021,total
0344,Canencia,457,2022,total
0344,Canencia,464,2023,total
0344,Canencia,468,2024,total
0357,Carabaña,2168,2021,total
0357,Carabaña,2234,2022,total
0357,Carabaña,2286,2023,total
0357,Carabaña,2375,2024,total
0360,Casarrubuelos,3950,2021,total
0360,Casarrubuelos,3987,2022,total
0360,Casarrubuelos,4099,2023,total
0360,Casarrubuelos,4225,2024,total
0376,Cenicientos,2078,2021,total
0376,Cenicientos,2080,2022,total
0376,Cenicientos,2088,2023,total
0376,Cenicientos,2141,2024,total
0382,Cercedilla,7315,2021,total
0382,Cercedilla,7527,2022,total
0382,Cercedilla,7652,2023,total
0382,Cercedilla,7646,2024,total
0395,Cervera de Buitrago,158,2021,total
0395,Cervera de Buitrago,166,2022,total
0395,Cervera de Buitrago,164,2023,total
0395,Cervera de Buitrago,161,2024,total
0513,Chapinería,2493,2021,total
0513,Chapinería,2508,2022,total
0513,Chapinería,2598,2023,total
0513,Chapinería,2634,2024,total
0528,Chinchón,5544,2021,total
0528,Chinchón,5673,2022,total
0528,Chinchón,5670,2023,total
0528,Chinchón,5820,2024,total
0409,Ciempozuelos,25070,2021,total
0409,Ciempozuelos,25204,2022,total
0409,Ciempozuelos,25672,2023,total
0409,Ciempozuelos,26046,2024,total
0416,Cobeña,7424,2021,total
0416,Cobeña,7524,2022,total
0416,Cobeña,7702,2023,total
0416,Cobeña,7742,2024,total
0468,Collado Mediano,7348,2021,total
0468,Collado Mediano,7455,2022,total
0468,Collado Mediano,7463,2023,total
0468,Collado Mediano,7564,2024,total
0474,Collado Villalba,64297,2021,total
0474,Collado Villalba,64843,2022,total
0474,Collado Villalba,66260,2023,total
0474,Collado Villalba,67323,2024,total
0455,Colmenar Viejo,52465,2021,total
0455,Colmenar Viejo,53316,2022,total
0455,Colmenar Viejo,55100,2023,total
0455,Colmenar Viejo,56878,2024,total
0437,Colmenar de Oreja,8422,2021,total
0437,Colmenar de Oreja,8561,2022,total
0437,Colmenar de Oreja,8750,2023,total
0437,Colmenar de Oreja,8982,2024,total
0421,Colmenar del Arroyo,1879,2021,total
0421,Colmenar del Arroyo,1939,2022,total
0421,Colmenar del Arroyo,1954,2023,total
0421,Colmenar del Arroyo,2013,2024,total
0442,Colmenarejo,9414,2021,total
0442,Colmenarejo,9544,2022,total
0442,Colmenarejo,9655,2023,total
0442,Colmenarejo,9741,2024,total
0480,Corpa,742,2021,total
0480,Corpa,772,2022,total
0480,Corpa,796,2023,total
0480,Corpa,795,2024,total
0493,Coslada,81388,2021,total
0493,Coslada,80578,2022,total
0493,Coslada,80146,2023,total
0493,Coslada,80688,2024,total
0506,Cubas de la Sagra,6607,2021,total
0506,Cubas de la Sagra,6692,2022,total
0506,Cubas de la Sagra,6807,2023,total
0506,Cubas de la Sagra,6984,2024,total
0534,Daganzo de Arriba,10528,2021,total
0534,Daganzo de Arriba,10633,2022,total
0534,Daganzo de Arriba,10601,2023,total
0534,Daganzo de Arriba,10673,2024,total
0549,Escorial (El),16681,2021,total
0549,Escorial (El),16733,2022,total
0549,Escorial (El),16978,2023,total
0549,Escorial (El),17262,2024,total
